+--------+--------------------------+-------------+-------------------------+--------------------------+-------------------------+
| Bin#   | #rightarrow 0.84 (0.90)  |    Total    | #leftarrow 0.46 (1.00)  | #rightarrow 0.98 (0.83)  | #leftarrow 0.37 (0.98)  |
|--------+--------------------------+-------------+-------------------------+--------------------------+-------------------------+
| Bin0   |          0 ± 0           |    0 ± 0    |          0 ± 0          |          0 ± 0           |          0 ± 0          |
| Bin1   |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin2   |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin3   |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin4   |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin5   |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin6   |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin7   |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin8   |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin9   |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin10  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin11  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin12  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin13  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin14  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin15  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin16  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin17  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin18  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin19  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin20  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin21  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin22  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin23  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin24  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin25  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin26  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin27  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin28  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin29  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin30  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin31  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin32  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
| Bin33  |          1 ± 0           |    1 ± 0    |          0 ± 0          |          1 ± 0           |          0 ± 0          |
